x [nm],y [nm],z [nm],frame,uncertainty [nm],intensity [photon],offset [photon],loglikelihood
11969,4942,0,192,3.9609,4619.2,130.98,125.77
11973,4942,0,193,4.0321,4471.6,127.59,117.08
11980,4955.1,0,194,3.7755,4909.9,131.02,135.28
11981,4951.4,0,195,4.5902,3714.6,121.36,99.913
11982,4942.8,0,196,4.5157,3758.1,118,116.61
11983,4964.7,0,197,4.4225,3827.6,115.52,88.522
11966,4939.3,0,198,4.0557,4411.5,125.08,111.81
17691,2282.4,0,198,5.6488,2551.6,82.031,50.02
11965,4941.6,0,199,4.6023,3612.7,112.63,101.96
11964,4930.1,0,200,4.8,3485.3,115.49,84.209
11973,4947,0,201,6.1991,2358.6,98.075,72.447
11970,4922,0,202,6.2293,2412.9,104.18,80.884
13415,10903,0,202,4.382,4092.4,124.48,87.322
13402,10912,0,203,7.3065,2120.3,115.66,61.596
13415,10886,0,204,6.6874,2272.7,106.3,100.07
13393,10877,0,205,5.9928,2648.8,110.97,88.004
13403,10902,0,206,4.8241,3527.2,115.45,60.461
16243,3446.7,0,206,5.9142,2403.2,87.7,42.481
10810,16166,0,207,4.8504,3395.5,114.42,52.549
13400,10900,0,207,3.7199,5020.7,121.17,123.49
10804,16170,0,208,3.9968,4535.3,128.65,97.214
13416,10911,0,208,5.0507,3331.5,115.59,106.42
16248,3446.7,0,208,5.6896,2521.6,87.28,58.297
13413,10900,0,209,4.8795,3459.7,114.26,90.591
16234,3437.7,0,209,4.8822,3122.1,92.233,59.125
13423,10904,0,210,4.0639,4539.3,126.91,102.25
13802,20667,0,210,7.2804,2277.7,148.3,59.199
13416,10911,0,211,6.2418,2526,111.34,109.87
13787,20674,0,211,7.7456,2000.2,128.15,67.045
13814,20661,0,212,8.2485,1905.1,137.47,77.275
16239,3434.1,0,212,4.3479,3639.7,92.454,70.413
16233,3436.6,0,217,4.9365,3083.5,92.752,43.466
16244,3438.2,0,218,4.6373,3305.9,89.172,55.532
13480,10851,0,219,5.8467,2848.5,130.04,122.29
10570,9819.5,0,220,6.8822,2091.6,100.97,67.608
16231,3441.9,0,220,6.697,2087.2,91.415,54.214
16228,3450.1,0,221,3.777,4451.7,97.328,47.54
16236,3450,0,222,4.3288,3679.6,94.347,55.968
16243,3444.4,0,223,4.9678,3130.4,98.873,81.264
16239,3460.8,0,224,6.3409,2281.3,96.688,57.402
16243,3448,0,225,5.102,2990.3,95.684,66.887
16251,3450,0,226,4.9245,3120.2,94.431,69.651
16248,3449.7,0,227,5.0884,2964.9,92.211,58.625
16247,3448.6,0,228,4.4281,3554.4,92.383,64.909
16240,3449.1,0,229,4.3263,3697.7,95.349,61.56
16242,3441.8,0,230,3.7384,4502.4,95.712,52.983
14019,14372,0,231,5.5904,2705.9,101.07,57.616
16251,3442.3,0,231,3.9796,4130.4,94.429,62.91
12516,7449.7,0,232,6.0312,2482.5,101.87,96.468
13997,14366,0,232,5.6818,2667.4,102.09,76.767
16233,3444.1,0,232,3.735,4547.2,98.937,73.794
12529,7454.5,0,233,5.914,2535.5,100.88,59.384
16238,3451.7,0,233,3.641,4702.5,98.49,63.931
12501,7416.1,0,234,6.0742,2673.7,126.59,133.24
16246,3450.1,0,234,3.3453,5355.5,102.63,74.932
10184,17046,0,235,5.9293,2609,111.26,46.378
12515,7422,0,235,6.0879,2706.5,132.06,143.12
16251,3445.1,0,235,3.8323,4331.9,93.614,46.322
10179,17049,0,236,5.4418,2932.5,114.59,60.873
12507,7437.3,0,236,5.5845,2862.3,115.66,69.433
16247,3453.3,0,236,4.2076,3771.7,90.162,42.507
10169,17047,0,237,5.5432,2863.4,114.53,60.896
11644,18385,0,237,6.5712,2309.5,112.43,53.096
12495,7423.8,0,237,4.5682,3821.8,127.38,116.06
16228,3451.8,0,237,4.2516,3752.8,93.544,85.814
16237,3458.5,0,238,3.8212,4416.6,99.286,83.77
16249,3446.6,0,239,3.9134,4197.8,92.814,49.235
16240,3466.3,0,240,5.4881,2661.2,89.684,56.307
11639,18375,0,241,3.8893,4458.4,110.29,65.879
16234,3468.5,0,241,5.2127,2829.9,88.791,79.901
11633,18376,0,242,5.6259,2860.7,116.18,44.405
16241,3459.7,0,242,4.4564,3474.9,88.956,64.183
11651,18381,0,243,3.3141,5610.2,115.92,49.889
15402,16669,0,243,4.9845,3311.3,117,57.487
16235,3449.3,0,243,3.1254,5695,92.803,40.478
11643,18377,0,244,3.0603,6343,121.17,53.75
16230,3444.5,0,244,3.6537,4518.5,88.277,83.828
11641,18377,0,245,3.9014,4531.4,117.29,64.325
16240,3448.4,0,245,3.3752,5104.4,91.691,44.635
11008,17589,0,246,6.3421,2427.4,113.64,62.796
