"frame","x [nm]","y [nm]","intensity [photons]","loglikelihood" 
6765,23250,9093.3,2133.3,-191.42
6766,21896,13166,1164.1,-170.42
6766,23245,9099.5,1864.3,-195.57
6768,23239,9092.4,4747.4,-210.38
6769,23235,9091.1,1393.2,-177.16
6771,21892,13188,1944.6,-177.66
6771,23235,9097.1,3284.1,-164.28
6772,23238,9094.4,1630.4,-160.47
6773,21880,13183,1848.8,-209.44
6773,23242,9089.9,2024.5,-200.44
6774,23237,9092.7,1035.3,-179.32
6775,23241,9092.5,4341.2,-188.15
6776,22922,13595,4499.5,-202.01
6776,23238,9087.1,3665.2,-174.51
6778,22981,13554,5381.9,-202.99
6779,23240,9094.3,1632.5,-189.29
6780,23239,9084.2,2725.4,-214.35
6781,23216,9094.8,1824.8,-191.56
6783,23234,9088.6,3706,-160.37
6784,23235,9095.3,3170.1,-197.36
6788,23239,9088.6,2354.9,-188.72
6790,23225,9103.3,1873.3,-193.31
6791,23224,9092.5,4261.9,-220.81
